event_id,timestamp,user_id,user_name,department,role,source_ip,location,login_successful,failed_attempts,resources_accessed,sensitive_data_accessed,privilege_level,download_mb,session_duration_minutes,is_anomaly,anomaly_type
1,2025-12-20 02:34:22.836070,user_016,Erika Carter,Sales,Director,192.168.171.96,Bangalore,True,0,639,True,1,3214.11,378,True,After Hours Exfiltration
2,2025-12-20 02:34:22.836070,user_028,Linda Good,HR,Employee,192.168.160.95,Hyderabad,True,1,20,True,1,143.9946011198645,216,True,Impossible Travel
3,2025-12-20 03:34:22.836070,user_066,Joshua Moses,Finance,Employee,192.168.190.195,Mumbai,True,0,39,True,1,146.35125363810317,379,True,Lateral Movement
4,2025-12-20 04:34:22.836070,user_012,Charles Mendoza,HR,Employee,192.168.30.38,Hyderabad,True,0,24,True,1,124.01468227586452,419,True,After Hours Exfiltration
5,2025-12-20 04:34:22.836070,user_047,Rebecca Anderson,Finance,Employee,192.168.246.48,Mumbai,True,3,183,True,3,2161.1,285,True,Credential Stuffing
6,2025-12-20 09:34:22.836070,user_039,Donna Mcdonald,Sales,Director,192.168.1.215,Delhi,True,0,162,False,1,300.84407199654044,174,False,Normal
7,2025-12-20 09:51:22.836070,user_074,Nancy Rose,HR,Manager,192.168.10.13,Bangalore,True,0,11,False,1,26.11,127,False,Normal
8,2025-12-20 10:04:22.836070,user_067,Brian Velazquez,Sales,Director,192.168.8.41,Hyderabad,True,0,15,False,1,13.42,231,False,Normal
9,2025-12-20 10:08:22.836070,user_001,Mariah Ray,Engineering,Employee,192.168.9.192,Bangalore,True,1,75,False,1,273.1192135677108,136,False,Normal
10,2025-12-20 10:38:22.836070,user_012,Charles Mendoza,HR,Employee,192.168.6.33,Hyderabad,True,0,6,False,1,12.0,286,False,Normal
11,2025-12-20 10:58:22.836070,user_005,Grace Morales,Sales,Director,192.168.7.224,Bangalore,True,0,13,True,1,38.43,233,False,Normal
12,2025-12-20 11:11:22.836070,user_094,Danielle Weber,Engineering,Director,192.168.7.157,Delhi,True,0,11,False,1,11.93,203,False,Normal
